# cam @ 0x815a9224
t	mode	ratio	E	aCnt	eCnt	dCnt	dLast	cCnt	cLast	posTy	u18y	eyeY	atY
   6.58	0	0.000	6764	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	169	444	464
   6.72	0	0.000	5216	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	266	444	462
   6.87	0	0.000	3668	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	368	444	462
   7.02	0	0.000	2029	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	453	477	450	461
   7.17	0	0.000	390	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	480	587	477	461
   7.32	0	0.130	0	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	624	729	599	467
   7.46	0	0.309	0	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	844	923	814	491
   7.60	0	0.254	0	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	803	856	821	515
   7.75	0	0.078	0	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	659	686	677	512
   7.89	0	0.000	925	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	551	551	565	492
   8.03	0	0.000	2382	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	454	454	468	479
   8.18	0	0.000	4021	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	345	444	493
   8.33	0	0.000	5569	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	243	444	544
   8.47	0	0.000	7209	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	142	444	618
   8.60	0	0.000	8666	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	59	444	691
   8.74	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	756
   8.89	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
   9.04	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
   9.17	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
   9.32	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
   9.47	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
   9.62	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
   9.75	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
   9.88	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  10.02	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  10.17	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  10.33	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  10.38	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  10.43	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  10.48	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  10.54	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  10.59	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  10.64	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  10.70	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  10.75	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  10.80	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  10.86	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  10.91	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  10.97	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  11.02	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  11.07	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  11.12	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  11.18	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  11.23	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  11.29	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
