class,kind,usa_addr,enclosing_func,func_name,note
SUSPECT,getFrameCtrl+stfs,0x801f76dc,0x801f761c,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800365d8,0x800364f4,,raw rate <- constant 1 (4x fast at 120fps)  [r2-0x74e0=0x8040f6a0]
SUSPECT,getFrameCtrl+stfs,0x800365ec,0x800364f4,,raw rate <- constant 1 (4x fast at 120fps)  [r2-0x74e0=0x8040f6a0]
SUSPECT,getFrameCtrl+stfs,0x800365fc,0x800364f4,,raw rate <- constant 1 (4x fast at 120fps)  [r2-0x74e0=0x8040f6a0]
SUSPECT,getFrameCtrl+stfs,0x80036b64,0x80036a74,,raw rate <- constant 1 (4x fast at 120fps)  [r2-0x74e0=0x8040f6a0]
SUSPECT,getFrameCtrl+stfs,0x80036b78,0x80036a74,,raw rate <- constant 1 (4x fast at 120fps)  [r2-0x74e0=0x8040f6a0]
SUSPECT,getFrameCtrl+stfs,0x80036b88,0x80036a74,,raw rate <- constant 1 (4x fast at 120fps)  [r2-0x74e0=0x8040f6a0]
SUSPECT,getFrameCtrl+stfs,0x80037080,0x80036f84,,raw rate <- constant 1 (4x fast at 120fps)  [r2-0x74e0=0x8040f6a0]
SUSPECT,getFrameCtrl+stfs,0x80037094,0x80036f84,,raw rate <- constant 1 (4x fast at 120fps)  [r2-0x74e0=0x8040f6a0]
SUSPECT,getFrameCtrl+stfs,0x800370a8,0x80036f84,,raw rate <- constant 1 (4x fast at 120fps)  [r2-0x74e0=0x8040f6a0]
SUSPECT,getFrameCtrl+stfs,0x800370b8,0x80036f84,,raw rate <- constant 1 (4x fast at 120fps)  [r2-0x74e0=0x8040f6a0]
SUSPECT,getFrameCtrl+stfs,0x800375fc,0x80037500,,raw rate <- constant 1 (4x fast at 120fps)  [r2-0x74e0=0x8040f6a0]
SUSPECT,getFrameCtrl+stfs,0x80037610,0x80037500,,raw rate <- constant 1 (4x fast at 120fps)  [r2-0x74e0=0x8040f6a0]
SUSPECT,getFrameCtrl+stfs,0x80037624,0x80037500,,raw rate <- constant 1 (4x fast at 120fps)  [r2-0x74e0=0x8040f6a0]
SUSPECT,getFrameCtrl+stfs,0x80037634,0x80037500,,raw rate <- constant 1 (4x fast at 120fps)  [r2-0x74e0=0x8040f6a0]
SUSPECT,getFrameCtrl+stfs,0x80047430,0x80047104,,raw rate <- constant -90 (4x fast at 120fps)  [r2-0x6fd0=0x8040fbb0]
SUSPECT,getFrameCtrl+stfs,0x8004a4cc,0x8004a494,,raw rate <- constant -90 (4x fast at 120fps)  [r2-0x6fd0=0x8040fbb0]
SUSPECT,setFrameRate,0x8006a3f0,0x8006a3a0,,raw rate <- constant 200 (4x fast at 120fps)  [r2-0x6c08=0x8040ff78]
SUSPECT,setFrameRate,0x8006a418,0x8006a3a0,,raw rate <- constant 200 (4x fast at 120fps)  [r2-0x6c08=0x8040ff78]
SUSPECT,setFrameRate,0x8007d690,0x8007d518,,raw rate <- constant 1900 (4x fast at 120fps)  [r2-0x699c=0x804101e4]
SUSPECT,getFrameCtrl+stfs,0x800828ec,0x800826d8,,raw rate <- constant 720 (4x fast at 120fps)  [r2-0x68e8=0x80410298]
SUSPECT,getFrameCtrl+stfs,0x80082bcc,0x80082944,,raw rate <- constant 720 (4x fast at 120fps)  [r2-0x68e8=0x80410298]
SUSPECT,getFrameCtrl+stfs,0x800a49d0,0x800a4900,,raw rate <- constant 3.05176e-05 (4x fast at 120fps)  [r2-0x64d0=0x804106b0]
SUSPECT,getFrameCtrl+stfs,0x800a4d18,0x800a4900,,raw rate <- constant 3.05176e-05 (4x fast at 120fps)  [r2-0x64d0=0x804106b0]
SUSPECT,getFrameCtrl+stfs,0x800a5df4,0x800a5db8,,raw rate <- constant 3.05176e-05 (4x fast at 120fps)  [r2-0x64d0=0x804106b0]
SUSPECT,getFrameCtrl+stfs,0x800a616c,0x800a5fc8,,raw rate <- constant 3.05176e-05 (4x fast at 120fps)  [r2-0x64d0=0x804106b0]
SUSPECT,getFrameCtrl+stfs,0x800a6194,0x800a5fc8,,raw rate <- constant 3.05176e-05 (4x fast at 120fps)  [r2-0x64d0=0x804106b0]
SUSPECT,getFrameCtrl+stfs,0x800a6274,0x800a5fc8,,raw rate <- constant 3.05176e-05 (4x fast at 120fps)  [r2-0x64d0=0x804106b0]
SUSPECT,getFrameCtrl+stfs,0x800b3448,0x800b3410,,raw rate <- constant 2000 (4x fast at 120fps)  [r2-0x62b0=0x804108d0]
SUSPECT,getFrameCtrl+stfs,0x800b51ac,0x800b5174,,raw rate <- constant 2000 (4x fast at 120fps)  [r2-0x62b0=0x804108d0]
SUSPECT,setFrameRate,0x800b6a54,0x800b69d4,,raw rate <- constant 0.7 (4x fast at 120fps)  [r2-0x61ec=0x80410994]
SUSPECT,getFrameCtrl+stfs,0x800b6f88,0x800b6dfc,,raw rate <- constant 50 (4x fast at 120fps)  [r2-0x61e8=0x80410998]
SUSPECT,setFrameRate,0x800bae24,0x800badb4,,raw rate <- constant -2 (4x fast at 120fps)  [r2-0x61b8=0x804109c8]
SUSPECT,setFrameRate,0x800bd954,0x800bd8f8,,raw rate <- constant 50 (4x fast at 120fps)  [r2-0x6130=0x80410a50]
SUSPECT,setFrameRate,0x800c27fc,0x800c255c,,raw rate <- constant 50 (4x fast at 120fps)  [r2-0x6130=0x80410a50]
SUSPECT,getFrameCtrl+stfs,0x800c2810,0x800c255c,,raw rate <- constant 50 (4x fast at 120fps)  [r2-0x6130=0x80410a50]
