class,kind,usa_addr,enclosing_func,func_name,note
CLEAN,setFrameRate,0x800427d8,0x800426c8,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x8004e434,0x8004e328,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x8006bba8,0x8006bb04,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,getFrameCtrl+stfs,0x80073194,0x80073030,,rate <- constant 0.0 (pause)  [r2-0x6a88=0x804100f8]
CLEAN,getFrameCtrl+stfs,0x800735a0,0x8007342c,,rate <- constant 0.0 (pause)  [r2-0x6a88=0x804100f8]
CLEAN,getFrameCtrl+stfs,0x80073868,0x8007375c,,rate <- constant 0.0 (pause)  [r2-0x6a7c=0x80410104]
CLEAN,getFrameCtrl+stfs,0x8007416c,0x80073f30,,rate <- constant 0.0 (pause)  [r2-0x6a7c=0x80410104]
CLEAN,getFrameCtrl+stfs,0x80074978,0x80074814,,rate <- constant 0.0 (pause)  [r2-0x6a98=0x804100e8]
CLEAN,getFrameCtrl+stfs,0x8007499c,0x80074814,,rate <- constant 0.0 (pause)  [r2-0x6a7c=0x80410104]
CLEAN,getFrameCtrl+stfs,0x80074c2c,0x80074814,,rate <- constant 0.0 (pause)  [r2-0x6a88=0x804100f8]
CLEAN,getFrameCtrl+stfs,0x80074fd4,0x80074e54,,rate <- constant 0.0 (pause)  [r2-0x6a7c=0x80410104]
CLEAN,getFrameCtrl+stfs,0x8007501c,0x80074e54,,rate <- constant 0.0 (pause)  [r2-0x6a88=0x804100f8]
CLEAN,getFrameCtrl+stfs,0x800754bc,0x800751b8,,rate <- constant 0.0 (pause)  [r2-0x6a88=0x804100f8]
CLEAN,setFrameRate,0x8007d67c,0x8007d518,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x80083050,0x80082fac,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x8008570c,0x800856a0,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x80085a60,0x80085a00,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x80085c90,0x80085c30,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x80085fe8,0x80085f88,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x800865c4,0x8008656c,,rate <- constant 0.0 (pause)  [r2-0x6868=0x80410318]
CLEAN,getFrameCtrl+stfs,0x800865d8,0x8008656c,,rate <- constant 0.0 (pause)  [r2-0x6868=0x80410318]
CLEAN,getFrameCtrl+stfs,0x800931d4,0x8009309c,,rate <- constant 0.0 (pause)  [r2-0x672c=0x80410454]
CLEAN,getFrameCtrl+stfs,0x80097cc4,0x80097ba8,,rate <- constant 0.0 (pause)  [r2-0x672c=0x80410454]
CLEAN,getFrameCtrl+stfs,0x80097dcc,0x80097ba8,,rate <- constant 0.0 (pause)  [r2-0x672c=0x80410454]
CLEAN,getFrameCtrl+stfs,0x80097f3c,0x80097ba8,,rate <- constant 0.0 (pause)  [r2-0x672c=0x80410454]
CLEAN,setFrameRate,0x8009c038,0x8009bfd0,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x800b6af0,0x800b69d4,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x800b98b8,0x800b9864,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x800b9a4c,0x800b99ec,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x800c8a08,0x800c8958,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x800c8a4c,0x800c8958,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x800ca538,0x800ca47c,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x800cdb20,0x800cd9a4,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x800d6d58,0x800d6a70,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x800d70f4,0x800d7080,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x800d944c,0x800d9278,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x800dc4cc,0x800dc410,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x800e07fc,0x800e05cc,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x800e4028,0x800e3f00,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x800e668c,0x800e65ac,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x800e89f8,0x800e8898,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,getFrameCtrl+stfs,0x800f2718,0x800f2144,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,setFrameRate,0x80113734,0x801136f4,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,getFrameCtrl+stfs,0x801bc034,0x801bbef0,,rate <- constant 0.0 (pause)  [r2-0x2be4=0x80413f9c]
CLEAN,getFrameCtrl+stfs,0x801bc0c8,0x801bbef0,,rate <- constant 0.0 (pause)  [r2-0x2bc4=0x80413fbc]
CLEAN,getFrameCtrl+stfs,0x801bc24c,0x801bc12c,,rate <- constant 0.0 (pause)  [r2-0x2bc4=0x80413fbc]
CLEAN,getFrameCtrl+stfs,0x801bc334,0x801bc12c,,rate <- constant 0.0 (pause)  [r2-0x2bc4=0x80413fbc]
CLEAN,getFrameCtrl+stfs,0x801bc66c,0x801bc5a8,,rate <- constant 0.0 (pause)  [r2-0x2bc4=0x80413fbc]
CLEAN,getFrameCtrl+stfs,0x801c21dc,0x801c216c,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,getFrameCtrl+stfs,0x801c2290,0x801c216c,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,getFrameCtrl+stfs,0x801c4f24,0x801c4c98,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,getFrameCtrl+stfs,0x801c5014,0x801c4c98,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,getFrameCtrl+stfs,0x801c5104,0x801c4c98,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,getFrameCtrl+stfs,0x801c5688,0x801c55c0,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,getFrameCtrl+stfs,0x801c57a8,0x801c56e0,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,getFrameCtrl+stfs,0x80271dc8,0x80271cf0,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,getFrameCtrl+stfs,0x80271de0,0x80271cf0,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,getFrameCtrl+stfs,0x80271df8,0x80271cf0,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,getFrameCtrl+stfs,0x80271e10,0x80271cf0,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,getFrameCtrl+stfs,0x80271fe0,0x80271e8c,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,getFrameCtrl+stfs,0x80271ff8,0x80271e8c,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,getFrameCtrl+stfs,0x80272010,0x80271e8c,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,getFrameCtrl+stfs,0x80272028,0x80271e8c,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,getFrameCtrl+stfs,0x80272294,0x802720c4,,rate = SMSGetAnmFrameRate() (compensated)
CLEAN,getFrameCtrl+stfs,0x802722ac,0x802720c4,,rate = SMSGetAnmFrameRate() (compensated)
