class,kind,call,file,line,enclosing,jp_sym,jp_addr,jp_size,reason,code
SUSPECT,setter,setRate,Player/Yoshi.cpp,286,TYoshi::thinkBtp,thinkBtp__6TYoshiFi,0x8014fcd8,0xb0,raw literal rate 0.5f (4x fast at 120fps),frameCtrl->setRate(0.5f);
SUSPECT,setter,setRate,Player/Yoshi.cpp,611,TYoshi::thinkAnimation,thinkAnimation__6TYoshiFv,0x8014f1a0,0x3f4,raw/computed rate (nextFrame),mActor->getFrameCtrl(0)->setRate(nextFrame);
SUSPECT,setter,setRate,Player/Yoshi.cpp,646,TYoshi::thinkUpper,thinkUpper__6TYoshiFv,0x8014ef78,0x228,raw literal rate 1.0f (4x fast at 120fps),unk5C.setRate(1.0f);
SUSPECT,setter,setRate,Player/Yoshi.cpp,657,TYoshi::thinkUpper,thinkUpper__6TYoshiFv,0x8014ef78,0x228,raw literal rate 1.0f (4x fast at 120fps),unk5C.setRate(1.0f);
SUSPECT,setter,setFrameRate,Strategic/liveinterp.cpp,432,linSetAnmRate,linSetAnmRate__FP29TSpcTypedInterp<10TLiveActor>Ul,0x80113938,0x274,raw/computed rate (arg1.getDataFloat()),"owner->getMActor()->setFrameRate(arg1.getDataFloat(), 0);"
SUSPECT,setter,setFrameRate,Strategic/liveinterp.cpp,435,linSetAnmRate,linSetAnmRate__FP29TSpcTypedInterp<10TLiveActor>Ul,0x80113938,0x274,raw/computed rate (arg1.getDataFloat()),"owner->getMActor()->setFrameRate(arg1.getDataFloat(), 3);"
SUSPECT,setter,->mRate=,System/MarDirectorSetup2.cpp,68,TMarDirector::setup2,setup2__12TMarDirectorFv,0x800efc08,0x5bc,raw literal rate 120.0f (4x fast at 120fps),unkDC->mRate = 120.0f;
MISUSE,anm-use,SMSGetAnmFrameRate,Animal/AnimalBase.cpp,75,TAnimalBase::init,init__11TAnimalBaseFP12TLiveManager,0x80366ba0,0x290,arithmetic on rate: ...TurnSpeed = turnSpeed * <<>>SMSGetAnmFrameRate();...,mTurnSpeed = turnSpeed * SMSGetAnmFrameRate();
MISUSE,anm-use,SMSGetAnmFrameRate,Animal/AnimalBase.cpp,271,TAnimalBase::execWalk,execWalk__11TAnimalBaseFb,0x80365c6c,0x3fc,arithmetic on rate: ...SLMaxMarchSpeed.get() * <<>>SMSGetAnmFrameRate();...,f32 speed = save->mSLMaxMarchSpeed.get() * SMSGetAnmFrameRate();
MISUSE,anm-use,SMSGetAnmFrameRate,Animal/AnimalBase.cpp,272,TAnimalBase::execWalk,execWalk__11TAnimalBaseFb,0x80365c6c,0x3fc,arithmetic on rate: ...->mSLMarchAccel.get() * <<>>SMSGetAnmFrameRate()...,f32 accel = save->mSLMarchAccel.get() * SMSGetAnmFrameRate()
MISUSE,anm-use,SMSGetAnmFrameRate,Animal/AnimalBase.cpp,276,TAnimalBase::execWalk,execWalk__11TAnimalBaseFb,0x80365c6c,0x3fc,arithmetic on rate: ...SLMarchDecrease.get() * <<>>SMSGetAnmFrameRate()...,f32 decel = save->mSLMarchDecrease.get() * SMSGetAnmFrameRate()
MISUSE,anm-use,SMSGetAnmFrameRate,Animal/AnimalBase.cpp,283,TAnimalBase::execWalk,execWalk__11TAnimalBaseFb,0x80365c6c,0x3fc,arithmetic on rate: ...nSpeed    = waitSpeed * <<>>SMSGetAnmFrameRate();...,mTurnSpeed    = waitSpeed * SMSGetAnmFrameRate();
MISUSE,anm-use,SMSGetAnmFrameRate,Animal/AnimalBase.cpp,286,TAnimalBase::execWalk,execWalk__11TAnimalBaseFb,0x80365c6c,0x3fc,arithmetic on rate: ...nSpeed    = walkSpeed * <<>>SMSGetAnmFrameRate();...,mTurnSpeed    = walkSpeed * SMSGetAnmFrameRate();
MISUSE,anm-use,SMSGetAnmFrameRate,Enemy/bgtentacle.cpp,755,TBGTentacle::setAttackTarget,setAttackTarget__11TBGTentacleFv,0x80313eac,0x46c,arithmetic on rate: ...ner->getAttackSpeed() * <<>>SMSGetAnmFrameRate());...,ctrl->setRate(mOwner->getAttackSpeed() * SMSGetAnmFrameRate());
MISUSE,anm-use,SMSGetAnmFrameRate,Enemy/bossManta.cpp,369,TBossManta::startWalkAnim,,,,"arithmetic on rate: ...rameRate[mGeneration] * <<>>SMSGetAnmFrameRate(), 0);...","TBossManta::sFrameRate[mGeneration] * SMSGetAnmFrameRate(), 0);"
MISUSE,anm-use,SMSGetAnmFrameRate,Enemy/bossManta.cpp,376,TBossManta::startDamageAnim,,,,"arithmetic on rate: ...rameRate[mGeneration] * <<>>SMSGetAnmFrameRate(), 0);...","TBossManta::sFrameRate[mGeneration] * SMSGetAnmFrameRate(), 0);"
MISUSE,anm-use,SMSGetAnmFrameRate,Enemy/bosseel.cpp,545,TBEelTears::getBasNameTable,getBasNameTable__10TBEelTearsCFv,0x802eb298,0xc,"arithmetic on rate: ...tFrameRate(-frameRate * <<>>SMSGetAnmFrameRate(), 0);...","actor->setFrameRate(-frameRate * SMSGetAnmFrameRate(), 0);"
MISUSE,anm-use,SMSGetAnmFrameRate,Enemy/bosseel.cpp,550,TBEelTears::getBasNameTable,getBasNameTable__10TBEelTearsCFv,0x802eb298,0xc,"arithmetic on rate: ...etFrameRate(frameRate * <<>>SMSGetAnmFrameRate(), 0);...","actor->setFrameRate(frameRate * SMSGetAnmFrameRate(), 0);"
MISUSE,anm-use,SMSGetAnmFrameRate,Enemy/bosseel.cpp,602,TBEelTears::getBasNameTable,getBasNameTable__10TBEelTearsCFv,0x802eb298,0xc,"arithmetic on rate: ...etFrameRate(frameRate * <<>>SMSGetAnmFrameRate(), 0);...","actor->setFrameRate(frameRate * SMSGetAnmFrameRate(), 0);"
MISUSE,anm-use,SMSGetAnmFrameRate,Enemy/bosseel.cpp,1923,TBossEel::setBckAnm,setBckAnm__13TFireHamuKuriFi,0x80261928,0x20,arithmetic on rate: ...trl(0)->setRate(0.25f * <<>>SMSGetAnmFrameRate());...,getMActor()->getFrameCtrl(0)->setRate(0.25f * SMSGetAnmFrameRate());
MISUSE,anm-use,SMSGetAnmFrameRate,MarioUtil/ModelUtil.cpp,38,TMultiBtk::setNthData,setNthData__9TMultiBtkFiP19J3DAnmTextureSRTKey,0x800cf318,0xfc,arithmetic on rate: ...unk0c[n].setRate(0.5f * <<>>SMSGetAnmFrameRate());...,unk0c[n].setRate(0.5f * SMSGetAnmFrameRate());
MISUSE,anm-use,SMSGetAnmFrameRate,MoveBG/MapObjTown.cpp,86,TManhole::touchPlayer,touchPlayer__8TManholeFP9THitActor,0x80199fe0,0x314,arithmetic on rate: ...meCtrl(0)->getFrame() + <<>>SMSGetAnmFrameRate());...,getMActor()->getFrameCtrl(0)->getFrame() + SMSGetAnmFrameRate());
MISUSE,anm-use,SMSGetAnmFrameRate,MoveBG/MapObjTown.cpp,98,TManhole::touchPlayer,touchPlayer__8TManholeFP9THitActor,0x80199fe0,0x314,arithmetic on rate: ...meCtrl(0)->getFrame() + <<>>SMSGetAnmFrameRate());...,getMActor()->getFrameCtrl(0)->getFrame() + SMSGetAnmFrameRate());
MISUSE,anm-use,SMSGetAnmFrameRate,MoveBG/MapObjTrap.cpp,169,TLampTrapSpike::control,control__14TLampTrapSpikeFv,0x801d9230,0x44c,arithmetic on rate: ...ctrl->setRate(-<<>>SMSGetAnmFrameRate());...,ctrl->setRate(-SMSGetAnmFrameRate());
MISUSE,anm-use,SMSGetAnmFrameRate,NPC/NpcBase.cpp,692,TBaseNPC::perform,perform__8TBaseNPCFUlPQ26JDrama9TGraphics,0x8016ad74,0x7e8,compared as timing: ...f32 rate = <<>>SMSGetAnmFrameRate();...,f32 rate = SMSGetAnmFrameRate();
MISUSE,anm-use,SMSGetAnmFrameRate,Player/SplashManager.cpp,24,TSplashManager::load,load__14TSplashManagerFR20JSUMemoryInputStream,0x801466f4,0x198,arithmetic on rate: ...unk638 = (<<>>SMSGetAnmFrameRate() * -0.5f) *...,unk638 = (SMSGetAnmFrameRate() * -0.5f) * SMSGetAnmFrameRate();
MISUSE,anm-use,SMSGetAnmFrameRate,Player/SplashManager.cpp,24,TSplashManager::load,load__14TSplashManagerFR20JSUMemoryInputStream,0x801466f4,0x198,arithmetic on rate: ...mFrameRate() * -0.5f) * <<>>SMSGetAnmFrameRate();...,unk638 = (SMSGetAnmFrameRate() * -0.5f) * SMSGetAnmFrameRate();
MISUSE,anm-use,SMSGetAnmFrameRate,System/EmitterViewObj.cpp,29,TEmitterViewObj::perform,perform__15TEmitterViewObjFUlPQ26JDrama9TGraphics,0x800dc368,0xa4,compared as timing: ...for (int i = <<>>SMSGetAnmFrameRate(); i > 0; --i...,for (int i = SMSGetAnmFrameRate(); i > 0; --i)
MISUSE,anm-use,SMSGetAnmFrameRate,System/EmitterViewObj.cpp,42,TEmitterIndirectViewObj::perform,perform__23TEmitterIndirectViewObjFUlPQ26JDrama9TGraphics,0x800dc2ac,0xbc,compared as timing: ...for (int i = <<>>SMSGetAnmFrameRate(); i > 0; --i...,for (int i = SMSGetAnmFrameRate(); i > 0; --i)
MISUSE,anm-use,SMSGetAnmFrameRate,System/EmitterViewObj.cpp,110,TMarioParticleManager::perform,perform__21TMarioParticleManagerFUlPQ26JDrama9TGraphics,0x800dbd30,0x3a8,compared as timing: ...for (int i = <<>>SMSGetAnmFrameRate(); i > 0; --i...,for (int i = SMSGetAnmFrameRate(); i > 0; --i)
MISUSE,anm-use,SMSGetAnmFrameRate,System/MarioGamePad.cpp,8,TMarioGamePad::reset,reset__13TMarioGamePadFv,0x800fc380,0x78,"arithmetic on rate: ...peat(0xf00000f, 20.0f / <<>>SMSGetAnmFrameRate(),...","setButtonRepeat(0xf00000f, 20.0f / SMSGetAnmFrameRate(),"
MISUSE,anm-use,SMSGetAnmFrameRate,System/MarioGamePad.cpp,9,TMarioGamePad::reset,reset__13TMarioGamePadFv,0x800fc380,0x78,arithmetic on rate: ...6.0f / <<>>SMSGetAnmFrameRate());...,6.0f / SMSGetAnmFrameRate());
