severity,provenance,func_addr,space,func_name,site_addr_or_loc,detail
CONSTANT,BINARY,0x800a5fc8,USA,0x800a5fc8,0x800a616c,raw rate <- constant 3.05176e-05 (4x fast at 120fps)  [r2-0x64d0=0x804106b0]
CONSTANT,BINARY,0x800a5fc8,USA,0x800a5fc8,0x800a6194,raw rate <- constant 3.05176e-05 (4x fast at 120fps)  [r2-0x64d0=0x804106b0]
CONSTANT,BINARY,0x800a5fc8,USA,0x800a5fc8,0x800a6274,raw rate <- constant 3.05176e-05 (4x fast at 120fps)  [r2-0x64d0=0x804106b0]
CONSTANT,BINARY,0x800c8f7c,USA,0x800c8f7c,0x800c8fe8,raw rate <- constant 900 (4x fast at 120fps)  [r2-0x5ff0=0x80410b90]
CONSTANT,BINARY,0x800c8f7c,USA,0x800c8f7c,0x800c9004,raw rate <- constant 900 (4x fast at 120fps)  [r2-0x5ff0=0x80410b90]
CONSTANT,BINARY,0x800c8f7c,USA,0x800c8f7c,0x800c9190,raw rate <- constant 900 (4x fast at 120fps)  [r2-0x5ff0=0x80410b90]
CONSTANT,BINARY,0x800e6870,USA,0x800e6870,0x800e68c8,raw rate <- constant 1.2 (4x fast at 120fps)  [r2-0x5ba0=0x80410fe0]
CONSTANT,BINARY,0x800e6870,USA,0x800e6870,0x800e6904,raw rate <- constant 1.2 (4x fast at 120fps)  [r2-0x5ba0=0x80410fe0]
CONSTANT,BINARY,0x800e6870,USA,0x800e6870,0x800e6914,raw rate <- constant 1.2 (4x fast at 120fps)  [r2-0x5ba0=0x80410fe0]
CONSTANT,BINARY,0x80271a10,USA,0x80271a10,0x80271ab4,raw rate <- constant 20 (4x fast at 120fps)  [r2-0xaf0=0x80416090]
CONSTANT,BINARY,0x80271a10,USA,0x80271a10,0x80271ac8,raw rate <- constant 20 (4x fast at 120fps)  [r2-0xaf0=0x80416090]
CONSTANT,BINARY,0x80271a10,USA,0x80271a10,0x80271b84,raw rate <- constant 20 (4x fast at 120fps)  [r2-0xaf0=0x80416090]
CONSTANT,BINARY,0x8006a3a0,USA,0x8006a3a0,0x8006a3f0,raw rate <- constant 200 (4x fast at 120fps)  [r2-0x6c08=0x8040ff78]
CONSTANT,BINARY,0x8006a3a0,USA,0x8006a3a0,0x8006a418,raw rate <- constant 200 (4x fast at 120fps)  [r2-0x6c08=0x8040ff78]
CONSTANT,BINARY,0x800a4900,USA,0x800a4900,0x800a49d0,raw rate <- constant 3.05176e-05 (4x fast at 120fps)  [r2-0x64d0=0x804106b0]
CONSTANT,BINARY,0x800a4900,USA,0x800a4900,0x800a4d18,raw rate <- constant 3.05176e-05 (4x fast at 120fps)  [r2-0x64d0=0x804106b0]
CONSTANT,BINARY,0x800c255c,USA,0x800c255c,0x800c27fc,raw rate <- constant 50 (4x fast at 120fps)  [r2-0x6130=0x80410a50]
CONSTANT,BINARY,0x800c255c,USA,0x800c255c,0x800c2810,raw rate <- constant 50 (4x fast at 120fps)  [r2-0x6130=0x80410a50]
CONSTANT,BINARY,0x800c8958,USA,0x800c8958,0x800c89d8,raw rate <- constant 900 (4x fast at 120fps)  [r2-0x5ff0=0x80410b90]
CONSTANT,BINARY,0x800c8958,USA,0x800c8958,0x800c8a34,raw rate <- constant 900 (4x fast at 120fps)  [r2-0x5ff0=0x80410b90]
CONSTANT,BINARY,0x800d4b64,USA,0x800d4b64,0x800d50c8,raw rate <- constant 10000 (4x fast at 120fps)  [r2-0x5dd4=0x80410dac]
CONSTANT,BINARY,0x800d4b64,USA,0x800d4b64,0x800d50dc,raw rate <- constant 10000 (4x fast at 120fps)  [r2-0x5dd4=0x80410dac]
CONSTANT,BINARY,0x800e65ac,USA,0x800e65ac,0x800e66c0,raw rate <- constant 1.2 (4x fast at 120fps)  [r2-0x5ba0=0x80410fe0]
